ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName,assoc_event_id
0,948868,591,,591,Kamaishi Seawaves,0.00,3.64,1,1,50,33,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,,,,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,0,,0,,
1,948868,20126,Simon Hickey,5214,Hino Red Dolphins,0.00,3.64,1,1,50,33,82,4,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,32,44,30,0,,1,0,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,10,10,Fly Half,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,N,L,0,,0,,
2,948868,58288,Ryuji Abe,591,Kamaishi Seawaves,3.64,3.64,5,1,18,64,0,0,18,Collection,275,Restart Catch,277,Success,797,Kick Receipt Not Contested,1092,Non-Kicking Team,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,14,14,Right Wing,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,0,,0,,
3,948868,0,,591,Kamaishi Seawaves,3.64,3.64,5,1,18,64,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,35,0,0,0,,1,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,,,,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,0,,0,,
4,948868,58288,Ryuji Abe,591,Kamaishi Seawaves,3.64,5.84,5,1,18,64,21,57,1,Carry,105,Restart Return,122,Off Load,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,3,3,0,0,,1,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,14,14,Right Wing,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,25868,Josh Fenner,5214,Hino Red Dolphins,5
5,948868,25868,Josh Fenner,5214,Hino Red Dolphins,5.76,5.76,7,1,79,11,0,0,2,Tackle,142,Chase,155,Offload Allowed,0,,474,Neutral Tackle,708,1st Tackler,714,Lower Torso,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,08,8,Number 8,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,N,L,58288,Ryuji Abe,591,Kamaishi Seawaves,4
6,948868,58288,Ryuji Abe,591,Kamaishi Seawaves,5.84,6.04,7,1,21,57,18,55,3,Pass,151,Offload,128,Own Player,679,Short Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,2,3,3,0,,1,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,14,14,Right Wing,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,56764,Angus Fletcher,591,Kamaishi Seawaves,7
7,948868,56764,Angus Fletcher,591,Kamaishi Seawaves,6.04,6.04,7,1,18,55,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,06,6,Blindside Flanker,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,0,,0,,
8,948868,56764,Angus Fletcher,591,Kamaishi Seawaves,6.04,8.16,7,1,18,55,23,49,1,Carry,106,Support Carry,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,2,5,0,0,,1,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,06,6,Blindside Flanker,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,36486,Shosuke Funaki,5214,Hino Red Dolphins,9
9,948868,36486,Shosuke Funaki,5214,Hino Red Dolphins,7.08,7.08,8,1,78,19,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,24,3,Tighthead Prop,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,N,L,56764,Angus Fletcher,591,Kamaishi Seawaves,8
10,948868,61547,Towa Taniguchi,5214,Hino Red Dolphins,7.48,7.48,9,1,78,19,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,713,Legs,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,02,2,Hooker,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,N,L,56764,Angus Fletcher,591,Kamaishi Seawaves,8
11,948868,58221,AJ Woulf,5214,Hino Red Dolphins,7.60,7.60,9,1,78,19,0,0,40,Defensive Action,560,Tackle Arrival,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,04,4,Lock (4),0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,N,L,0,,0,,
12,948868,56764,Angus Fletcher,591,Kamaishi Seawaves,8.16,13.16,10,1,23,49,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,556,4-5 Seconds,663,Close Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-2,6,,1,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,06,6,Blindside Flanker,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,38463,Atsushi Minami,591,Kamaishi Seawaves,15
13,948868,58069,Satoshi Hatazawa,591,Kamaishi Seawaves,8.40,8.40,10,1,23,49,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,05,5,Lock (5),0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,0,,0,,
14,948868,62158,Sei Matsuyama,591,Kamaishi Seawaves,10.08,10.08,11,1,23,49,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,,1,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,01,1,Loosehead Prop,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,0,,0,,
15,948868,38463,Atsushi Minami,591,Kamaishi Seawaves,13.16,13.16,15,1,23,49,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,09,9,Scrum Half,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,0,,0,,
16,948868,38463,Atsushi Minami,591,Kamaishi Seawaves,13.16,13.16,15,1,23,49,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,09,9,Scrum Half,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,0,,0,,
17,948868,38463,Atsushi Minami,591,Kamaishi Seawaves,13.52,14.04,15,1,23,49,17,44,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,5,7,5,0,,2,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,09,9,Scrum Half,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,33173,Troy Hallett,591,Kamaishi Seawaves,18
18,948868,33173,Troy Hallett,591,Kamaishi Seawaves,14.04,14.04,15,1,17,44,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,03,3,Tighthead Prop,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,0,,0,,
19,948868,33173,Troy Hallett,591,Kamaishi Seawaves,14.04,14.04,15,1,17,44,0,0,47,Playmaker Options,656,First Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,03,3,Tighthead Prop,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,0,,0,,
20,948868,33173,Troy Hallett,591,Kamaishi Seawaves,14.04,15.52,15,1,17,44,20,43,1,Carry,101,One Out Drive,108,Tackled Neutral,111,Failed Gain line,461,Neutral Contact,501,1 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,0,3,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,03,3,Tighthead Prop,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,58218,Shun Nakashika,5214,Hino Red Dolphins,21
21,948868,58218,Shun Nakashika,5214,Hino Red Dolphins,14.88,14.88,16,1,80,25,0,0,2,Tackle,144,Line,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,715,Upper Torso,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,06,6,Blindside Flanker,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,N,L,33173,Troy Hallett,591,Kamaishi Seawaves,20
22,948868,58214,Yuto Tokuda,5214,Hino Red Dolphins,15.24,15.24,17,1,80,25,0,0,40,Defensive Action,560,Tackle Arrival,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,01,1,Loosehead Prop,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,N,L,0,,0,,
23,948868,33173,Troy Hallett,591,Kamaishi Seawaves,15.52,25.68,17,1,20,43,0,0,23,Ruck,0,,401,Won Outright,549,Behind Previous Gainline,558,6+ Seconds,676,N/A Movement Ruck,0,,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,03,3,Tighthead Prop,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,38463,Atsushi Minami,591,Kamaishi Seawaves,28
24,948868,63465,Hayato Nishibayashi,591,Kamaishi Seawaves,16.40,16.40,18,1,20,43,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,,0,1,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,02,2,Hooker,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,0,,0,,
25,948868,19256,Sam Henwood,591,Kamaishi Seawaves,17.16,17.16,19,1,20,43,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,,0,2,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,08,8,Number 8,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,0,,0,,
26,948868,23992,Benjamin Nee-Nee,591,Kamaishi Seawaves,18.28,18.28,20,1,20,43,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,,0,3,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,04,4,Lock (4),0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,0,,0,,
27,948868,62158,Sei Matsuyama,591,Kamaishi Seawaves,19.24,19.24,21,1,20,43,0,0,43,Ruck OOA,574,Secured,586,Own Team 4th Entry,591,OOA Entry 4th Entry- Att,632,Attacking OOA,0,,0,4,0,,0,,0,,0,,0,0,0,0,,2,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,01,1,Loosehead Prop,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,0,,0,,
28,948868,38463,Atsushi Minami,591,Kamaishi Seawaves,25.68,25.68,27,1,20,43,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,3,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,09,9,Scrum Half,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,0,,0,,
29,948868,38463,Atsushi Minami,591,Kamaishi Seawaves,25.68,25.68,27,1,20,43,0,0,47,Playmaker Options,671,Halfback at Breakdown,674,Playmaker Option - Kick,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,3,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,09,9,Scrum Half,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,0,,0,,
30,948868,38463,Atsushi Minami,591,Kamaishi Seawaves,26.40,30.88,28,1,20,43,53,68,4,Kick,346,Box,193,Kick in Touch (Full),186,Kick in Play (Own 22),0,,795,Kick Receipt Not Contested,0,,0,,0,,0,,0,,33,42,0,0,,3,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,09,9,Scrum Half,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,0,,0,,
31,948868,0,,5214,Hino Red Dolphins,0.00,30.88,32,1,50,33,47,0,26,Sequences,307,50m Restart,315,Kick Out of Play,0,,0,,0,,0,,0,,0,,0,,0,,-3,0,0,0,,3,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,,,,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,N,L,0,,0,,
32,948868,0,,591,Kamaishi Seawaves,3.64,30.88,32,1,18,64,53,68,15,Possession,307,50m Restart,315,Kick Out of Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,35,0,0,0,,3,1,1,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,,,,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,Y,W,0,,0,,
33,948868,61547,Towa Taniguchi,5214,Hino Red Dolphins,59.80,61.24,101,1,47,0,47,7,6,Lineout Throw,371,Throw Front,377,Won Tap (Scrappy),211,Off The Top,0,4,660,Wide Right Open Movement Lineout,729,4 Players,724,Halfback in Position,0,,0,,0,,7,0,-9,30,,1,2,2,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,02,2,Hooker,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,N,L,36513,Shun Tomonaga,5214,Hino Red Dolphins,34
34,948868,36513,Shun Tomonaga,5214,Hino Red Dolphins,61.24,61.24,103,1,47,7,0,0,27,Lineout Take,386,Lineout Win Front,377,Won Tap,211,Off The Top,398,Ineffective Tap,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,2,2,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,07,7,Openside Flanker,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,N,L,61547,Towa Taniguchi,5214,Hino Red Dolphins,33
35,948868,36513,Shun Tomonaga,5214,Hino Red Dolphins,61.24,63.12,103,1,47,7,38,10,3,Pass,174,Incomplete,0,,679,Short Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,3,9,9,0,,1,2,2,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,07,7,Openside Flanker,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,N,L,26350,Yuki Kagoshima,5214,Hino Red Dolphins,36
36,948868,26350,Yuki Kagoshima,5214,Hino Red Dolphins,63.12,63.12,104,1,38,10,0,0,18,Collection,272,Attacking Loose Ball,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,2,2,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,09,9,Scrum Half,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,N,L,0,,0,,
37,948868,26350,Yuki Kagoshima,5214,Hino Red Dolphins,63.44,64.36,105,1,38,10,36,22,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,701,1st Receiver,0,,0,,0,,0,,0,,13,13,3,0,,1,2,2,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,09,9,Scrum Half,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,N,L,20126,Simon Hickey,5214,Hino Red Dolphins,38
38,948868,20126,Simon Hickey,5214,Hino Red Dolphins,64.36,64.36,106,1,36,22,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,2,2,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,10,10,Fly Half,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,N,L,0,,0,,
39,948868,20126,Simon Hickey,5214,Hino Red Dolphins,64.92,65.52,106,1,36,22,34,31,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,702,2nd Receiver,0,,0,,0,,0,,0,,9,9,2,0,,1,2,2,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,10,10,Fly Half,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,N,L,58218,Shun Nakashika,5214,Hino Red Dolphins,40
40,948868,58218,Shun Nakashika,5214,Hino Red Dolphins,65.52,65.52,107,1,34,31,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,2,2,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,06,6,Blindside Flanker,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,N,L,0,,0,,
41,948868,58218,Shun Nakashika,5214,Hino Red Dolphins,65.52,70.12,107,1,34,31,38,36,1,Carry,103,Other Carry,119,Error,111,Failed Gain line,461,Neutral Contact,502,2 Tacklers Committed,703,3rd Receiver,0,,0,,0,,0,,0,4,0,0,,1,2,2,0,0,591,Kamaishi Seawaves,5214,Hino Red Dolphins,21/12/2025,13:05,19,0,36,14,0,0,624,Kamaishi Recovery Memorial Stadium,-1,,2,2026,06,6,Blindside Flanker,0,,0,,1001807,Teruki Inanishi,1001115,Kohei Osawa,1001808,Takahiro Watanabe,1000758,Minoru Fuji,422,Japan Rugby League One D2,N,L,22737,Gerdus van der Walt,591,Kamaishi Seawaves,42
